#   t       A            B            C            D
0.000000 0.0000000000 0.0671250000 0.2685000000 -0.0727187500
0.001000 0.0000671250 0.1330469575 0.2684272813 -0.1270925620
0.002000 0.0002001720 0.1977560762 0.2683001887 -0.1675288603
0.003000 0.0003979280 0.2612444361 0.2681326598 -0.1974758471
0.004000 0.0006591725 0.3235059431 0.2679351840 -0.2195840294
0.005000 0.0009826784 0.3845362760 0.2677156000 -0.2358646852
0.006000 0.0013672147 0.4443328289 0.2674797353 -0.2478297342
0.007000 0.0018115475 0.5028946510 0.2672319055 -0.2566079223
0.008000 0.0023144422 0.5602223833 0.2669752976 -0.2630376975
0.009000 0.0028746646 0.6163181939 0.2667122599 -0.2677395783
0.010000 0.0034909827 0.6711857106 0.2664445203 -0.2711715599
0.011000 0.0041621685 0.7248299523 0.2661733488 -0.2736710145
0.012000 0.0048869984 0.7772572602 0.2658996778 -0.2754861007
0.013000 0.0056642557 0.8284752268 0.2656241917 -0.2767991619
0.014000 0.0064927309 0.8784926262 0.2653473925 -0.2777440779
0.015000 0.0073712235 0.9273193432 0.2650696484 -0.2784190900
0.016000 0.0082985429 0.9749663033 0.2647912293 -0.2788962584
0.017000 0.0092735092 1.0214454033 0.2645123331 -0.2792284230
0.018000 0.0102949546 1.0667694423 0.2642331046 -0.2794543221
0.019000 0.0113617240 1.1109520544 0.2639536503 -0.2796023507
0.020000 0.0124726761 1.1540076422 0.2636740480 -0.2796933201
0.021000 0.0136266837 1.1959513118 0.2633943547 -0.2797424820
0.022000 0.0148226350 1.2367988099 0.2631146122 -0.2797610132
0.023000 0.0160594338 1.2765664624 0.2628348512 -0.2797571036
0.024000 0.0173360003 1.3152711146 0.2625550941 -0.2797367548
0.025000 0.0186512714 1.3529300738 0.2622753573 -0.2797043641
0.026000 0.0200042015 1.3895610543 0.2619956529 -0.2796631538
0.027000 0.0213937625 1.4251821238 0.2617159898 -0.2796154849
0.028000 0.0228189447 1.4598116525 0.2614363743 -0.2795630874
0.029000 0.0242787563 1.4934682646 0.2611568112 -0.2795072290
0.030000 0.0257722246 1.5261707919 0.2608773040 -0.2794488383
0.031000 0.0272983954 1.5579382296 0.2605978551 -0.2793885961
0.032000 0.0288563336 1.5887896943 0.2603184665 -0.2793270009
0.033000 0.0304451233 1.6187443851 0.2600391395 -0.2792644182
0.034000 0.0320638677 1.6478215459 0.2597598751 -0.2792011156
0.035000 0.0337116892 1.6760404303 0.2594806740 -0.2791372894
0.036000 0.0353877297 1.7034202694 0.2592015367 -0.2790730834
0.037000 0.0370911499 1.7299802405 0.2589224636 -0.2790086028
0.038000 0.0388211302 1.7557394387 0.2586434550 -0.2789439248
0.039000 0.0405768696 1.7807168506 0.2583645111 -0.2788791060
0.040000 0.0423575865 1.8049313298 0.2580856320 -0.2788141878
0.041000 0.0441625178 1.8284015737 0.2578068178 -0.2787492006
0.042000 0.0459909194 1.8511461032 0.2575280686 -0.2786841667
0.043000 0.0478420655 1.8731832437 0.2572493845 -0.2786191023
0.044000 0.0497152487 1.8945311074 0.2569707653 -0.2785540194
0.045000 0.0516097798 1.9152075779 0.2566922113 -0.2784889267
0.046000 0.0535249874 1.9352302961 0.2564137224 -0.2784238306
0.047000 0.0554602177 1.9546166470 0.2561352986 -0.2783587360
0.048000 0.0574148343 1.9733837492 0.2558569398 -0.2782936461
0.049000 0.0593882181 1.9915484444 0.2555786462 -0.2782285635
0.050000 0.0613797665 2.0091272891 0.2553004176 -0.2781634901
0.051000 0.0633888938 2.0261365466 0.2550222541 -0.2780984272
0.052000 0.0654150304 2.0425921812 0.2547441557 -0.2780333758
0.053000 0.0674576225 2.0585098527 0.2544661223 -0.2779683366
0.054000 0.0695161324 2.0739049119 0.2541881540 -0.2779033102
0.055000 0.0715900373 2.0887923973 0.2539102507 -0.2778382970
0.056000 0.0736788297 2.1031870327 0.2536324124 -0.2777732972
0.057000 0.0757820167 2.1171032253 0.2533546391 -0.2777083110
0.058000 0.0778991200 2.1305550648 0.2530769308 -0.2776433386
0.059000 0.0800296750 2.1435563230 0.2527992874 -0.2775783802
0.060000 0.0821732314 2.1561204542 0.2525217091 -0.2775134357
0.061000 0.0843293518 2.1682605962 0.2522441956 -0.2774485052
0.062000 0.0864976124 2.1799895717 0.2519667471 -0.2773835889
0.063000 0.0886776020 2.1913198901 0.2516893635 -0.2773186866
0.064000 0.0908689219 2.2022637501 0.2514120448 -0.2772537985
0.065000 0.0930711856 2.2128330427 0.2511347910 -0.2771889245
0.066000 0.0952840187 2.2230393538 0.2508576021 -0.2771240647
0.067000 0.0975070580 2.2328939684 0.2505804781 -0.2770592191
0.068000 0.0997399520 2.2424078739 0.2503034188 -0.2769943876
0.069000 0.1019823599 2.2515917646 0.2500264245 -0.2769295703
0.070000 0.1042339516 2.2604560457 0.2497494949 -0.2768647672
0.071000 0.1064944077 2.2690108379 0.2494726301 -0.2767999782
0.072000 0.1087634185 2.2772659824 0.2491958301 -0.2767352034
0.073000 0.1110406845 2.2852310454 0.2489190949 -0.2766704428
0.074000 0.1133259155 2.2929153233 0.2486424245 -0.2766056963
0.075000 0.1156188309 2.3003278478 0.2483658188 -0.2765409641
0.076000 0.1179191587 2.3074773911 0.2480892778 -0.2764762459
0.077000 0.1202266361 2.3143724712 0.2478128016 -0.2764115420
0.078000 0.1225410086 2.3210213573 0.2475363900 -0.2763468522
0.079000 0.1248620299 2.3274320749 0.2472600432 -0.2762821766
0.080000 0.1271894620 2.3336124115 0.2469837610 -0.2762175151
0.081000 0.1295230744 2.3395699219 0.2467075435 -0.2761528678
0.082000 0.1318626443 2.3453119338 0.2464313906 -0.2760882346
0.083000 0.1342079563 2.3508455527 0.2461553024 -0.2760236156
0.084000 0.1365588018 2.3561776679 0.2458792788 -0.2759590107
0.085000 0.1389149795 2.3613149574 0.2456033198 -0.2758944200
0.086000 0.1412762944 2.3662638935 0.2453274253 -0.2758298434
0.087000 0.1436425583 2.3710307476 0.2450515955 -0.2757652809
0.088000 0.1460135891 2.3756215961 0.2447758302 -0.2757007326
0.089000 0.1483892107 2.3800423250 0.2445001295 -0.2756361984
0.090000 0.1507692530 2.3842986350 0.2442244933 -0.2755716783
0.091000 0.1531535516 2.3883960469 0.2439489216 -0.2755071724
0.092000 0.1555419477 2.3923399060 0.2436734144 -0.2754426806
0.093000 0.1579342876 2.3961353875 0.2433979718 -0.2753782029
0.094000 0.1603304230 2.3997875008 0.2431225936 -0.2753137393
0.095000 0.1627302105 2.4033010943 0.2428472798 -0.2752492899
0.096000 0.1651335116 2.4066808602 0.2425720305 -0.2751848545
0.097000 0.1675401924 2.4099313388 0.2422968457 -0.2751204333
0.098000 0.1699501238 2.4130569229 0.2420217252 -0.2750560262
0.099000 0.1723631807 2.4160618624 0.2417466692 -0.2749916332
0.100000 0.1747792426 2.4189502681 0.2414716776 -0.2749272543
0.101000 0.1771981928 2.4217261162 0.2411967503 -0.2748628894
0.102000 0.1796199189 2.4243932520 0.2409218874 -0.2747985387
0.103000 0.1820443122 2.4269553942 0.2406470889 -0.2747342021
0.104000 0.1844712676 2.4294161386 0.2403723547 -0.2746698796
0.105000 0.1869006837 2.4317789619 0.2400976848 -0.2746055711
0.106000 0.1893324627 2.4340472250 0.2398230792 -0.2745412768
0.107000 0.1917665099 2.4362241772 0.2395485380 -0.2744769965
0.108000 0.1942027341 2.4383129592 0.2392740610 -0.2744127303
0.109000 0.1966410470 2.4403166069 0.2389996482 -0.2743484782
0.110000 0.1990813637 2.4422380541 0.2387252998 -0.2742842402
0.111000 0.2015236017 2.4440801363 0.2384510155 -0.2742200163
0.112000 0.2039676818 2.4458455936 0.2381767955 -0.2741558064
0.113000 0.2064135274 2.4475370736 0.2379026397 -0.2740916106
0.114000 0.2088610645 2.4491571345 0.2376285481 -0.2740274288
0.115000 0.2113102216 2.4507082482 0.2373545207 -0.2739632611
0.116000 0.2137609299 2.4521928026 0.2370805574 -0.2738991075
0.117000 0.2162131227 2.4536131046 0.2368066583 -0.2738349679
0.118000 0.2186667358 2.4549713828 0.2365328233 -0.2737708424
0.119000 0.2211217072 2.4562697898 0.2362590525 -0.2737067309
0.120000 0.2235779770 2.4575104048 0.2359853458 -0.2736426335
0.121000 0.2260354874 2.4586952364 0.2357117031 -0.2735785502
0.122000 0.2284941826 2.4598262240 0.2354381246 -0.2735144809
0.123000 0.2309540088 2.4609052411 0.2351646101 -0.2734504256
0.124000 0.2334149141 2.4619340967 0.2348911597 -0.2733863843
0.125000 0.2358768482 2.4629145380 0.2346177733 -0.2733223571
0.126000 0.2383397627 2.4638482520 0.2343444509 -0.2732583440
0.127000 0.2408036110 2.4647368678 0.2340711926 -0.2731943448
0.128000 0.2432683478 2.4655819585 0.2337979982 -0.2731303597
0.129000 0.2457339298 2.4663850430 0.2335248679 -0.2730663886
0.130000 0.2482003148 2.4671475877 0.2332518015 -0.2730024316
0.131000 0.2506674624 2.4678710085 0.2329787991 -0.2729384885
0.132000 0.2531353334 2.4685566725 0.2327058606 -0.2728745595
0.133000 0.2556038901 2.4692058993 0.2324329860 -0.2728106445
0.134000 0.2580730960 2.4698199632 0.2321601754 -0.2727467435
0.135000 0.2605429160 2.4704000940 0.2318874286 -0.2726828565
0.136000 0.2630133161 2.4709474791 0.2316147458 -0.2726189836
0.137000 0.2654842635 2.4714632648 0.2313421268 -0.2725551246
0.138000 0.2679557268 2.4719485574 0.2310695717 -0.2724912796
0.139000 0.2704276754 2.4724044251 0.2307970804 -0.2724274486
0.140000 0.2729000798 2.4728318988 0.2305246529 -0.2723636317
0.141000 0.2753729117 2.4732319734 0.2302522893 -0.2722998287
0.142000 0.2778461437 2.4736056096 0.2299799895 -0.2722360397
0.143000 0.2803197493 2.4739537344 0.2297077534 -0.2721722647
0.144000 0.2827937030 2.4742772425 0.2294355812 -0.2721085037
