#   t       A            B            C            D
0.000000 0.0000335625 0.0671921250 0.2684636406 -0.0736277344
0.001000 0.0001337149 0.1331709509 0.2683629428 -0.1283846387
0.002000 0.0002992391 0.1979272274 0.2682145087 -0.1689083911
0.003000 0.0005289086 0.2614535831 0.2680308092 -0.1987876194
0.004000 0.0008214906 0.3237444739 0.2678211428 -0.2207558510
0.005000 0.0011757474 0.3847961256 0.2675924047 -0.2368716868
0.006000 0.0015904387 0.4446064749 0.2673496876 -0.2486726767
0.007000 0.0020643227 0.5031751066 0.2670967418 -0.2573003150
0.008000 0.0025961581 0.5605031881 0.2668363230 -0.2635983541
0.009000 0.0031847054 0.6165934030 0.2665704527 -0.2681884782
0.010000 0.0038287288 0.6714498819 0.2663006126 -0.2715276843
0.011000 0.0045269969 0.7250781325 0.2660278872 -0.2739513388
0.012000 0.0052782850 0.7774849689 0.2657530703 -0.2757052452
0.013000 0.0060813753 0.8286784405 0.2654767424 -0.2769694003
0.014000 0.0069350590 0.8786677602 0.2651993279 -0.2778755254
0.015000 0.0078381370 0.9274632338 0.2649211370 -0.2785199676
0.016000 0.0087894208 0.9750761886 0.2646423966 -0.2789731752
0.017000 0.0097877339 1.0215189039 0.2643632723 -0.2792866466
0.018000 0.0108319126 1.0668045418 0.2640838851 -0.2794980204
0.019000 0.0119208067 1.1109470794 0.2638043236 -0.2796348022
0.020000 0.0130532802 1.1539612426 0.2635246523 -0.2797170904
0.021000 0.0142282125 1.1958624411 0.2632449185 -0.2797595702
0.022000 0.0154444983 1.2366667053 0.2629651566 -0.2797729708
0.023000 0.0167010490 1.2763906257 0.2626853919 -0.2797651310
0.024000 0.0179967927 1.3150512931 0.2624056427 -0.2797417776
0.025000 0.0193306748 1.3526662419 0.2621259224 -0.2797070945
0.026000 0.0207016584 1.3892533952 0.2618462410 -0.2796641381
0.027000 0.0221087249 1.4248310119 0.2615666055 -0.2796151416
0.028000 0.0235508737 1.4594176369 0.2612870211 -0.2795617362
