#   t       A            B            C            D
0.000000 2.6850000000 0.0026850000 0.0000000000 0.0000000000
0.001000 2.6850026850 0.0053699822 0.0000000000 0.0000000000
0.002000 2.6850080550 0.0080549112 0.0000000000 0.0000000000
0.003000 2.6850161099 0.0107397514 0.0000000000 0.0000000000
0.004000 2.6850268496 0.0134244673 0.0000000000 0.0000000000
0.005000 2.6850402741 0.0161090235 0.0000000000 0.0000000000
0.006000 2.6850563831 0.0187933843 0.0000000000 0.0000000000
0.007000 2.6850751765 0.0214775144 0.0000000000 0.0000000000
0.008000 2.6850966540 0.0241613783 0.0000000000 0.0000000000
0.009000 2.6851208154 0.0268449404 0.0000000000 0.0000000000
0.010000 2.6851476604 0.0295281655 0.0000000000 0.0000000000
0.011000 2.6851771885 0.0322110179 0.0000000000 0.0000000000
0.012000 2.6852093995 0.0348934625 0.0000000000 0.0000000000
0.013000 2.6852442930 0.0375754636 0.0000000000 0.0000000000
0.014000 2.6852818685 0.0402569861 0.0000000000 0.0000000000
0.015000 2.6853221254 0.0429379945 0.0000000000 0.0000000000
0.016000 2.6853650634 0.0456184535 0.0000000000 0.0000000000
0.017000 2.6854106819 0.0482983279 0.0000000000 0.0000000000
0.018000 2.6854589802 0.0509775824 0.0000000000 0.0000000000
0.019000 2.6855099578 0.0536561818 0.0000000000 0.0000000000
0.020000 2.6855636140 0.0563340908 0.0000000000 0.0000000000
0.021000 2.6856199481 0.0590112744 0.0000000000 0.0000000000
0.022000 2.6856789594 0.0616876974 0.0000000000 0.0000000000
0.023000 2.6857406471 0.0643633248 0.0000000000 0.0000000000
0.024000 2.6858050104 0.0670381215 0.0000000000 0.0000000000
0.025000 2.6858720485 0.0697120525 0.0000000000 0.0000000000
0.026000 2.6859417606 0.0723850829 0.0000000000 0.0000000000
0.027000 2.6860141456 0.0750571777 0.0000000000 0.0000000000
0.028000 2.6860892028 0.0777283022 0.0000000000 0.0000000000
0.029000 2.6861669311 0.0803984216 0.0000000000 0.0000000000
0.030000 2.6862473295 0.0830675010 0.0000000000 0.0000000000
0.031000 2.6863303970 0.0857355057 0.0000000000 0.0000000000
0.032000 2.6864161325 0.0884024013 0.0000000000 0.0000000000
0.033000 2.6865045349 0.0910681530 0.0000000000 0.0000000000
0.034000 2.6865956031 0.0937327263 0.0000000000 0.0000000000
0.035000 2.6866893358 0.0963960868 0.0000000000 0.0000000000
0.036000 2.6867857319 0.0990582001 0.0000000000 0.0000000000
0.037000 2.6868847901 0.1017190319 0.0000000000 0.0000000000
0.038000 2.6869865091 0.1043785478 0.0000000000 0.0000000000
0.039000 2.6870908877 0.1070367137 0.0000000000 0.0000000000
0.040000 2.6871979244 0.1096934954 0.0000000000 0.0000000000
0.041000 2.6873076179 0.1123488590 0.0000000000 0.0000000000
0.042000 2.6874199668 0.1150027704 0.0000000000 0.0000000000
0.043000 2.6875349695 0.1176551956 0.0000000000 0.0000000000
0.044000 2.6876526247 0.1203061009 0.0000000000 0.0000000000
0.045000 2.6877729308 0.1229554526 0.0000000000 0.0000000000
0.046000 2.6878958863 0.1256032168 0.0000000000 0.0000000000
0.047000 2.6880214895 0.1282493601 0.0000000000 0.0000000000
0.048000 2.6881497389 0.1308938489 0.0000000000 0.0000000000
0.049000 2.6882806327 0.1335366499 0.0000000000 0.0000000000
0.050000 2.6884141694 0.1361777296 0.0000000000 0.0000000000
0.051000 2.6885503471 0.1388170548 0.0000000000 0.0000000000
0.052000 2.6886891641 0.1414545923 0.0000000000 0.0000000000
0.053000 2.6888306187 0.1440903092 0.0000000000 0.0000000000
0.054000 2.6889747090 0.1467241723 0.0000000000 0.0000000000
0.055000 2.6891214332 0.1493561489 0.0000000000 0.0000000000
0.056000 2.6892707894 0.1519862061 0.0000000000 0.0000000000
0.057000 2.6894227756 0.1546143113 0.0000000000 0.0000000000
0.058000 2.6895773899 0.1572404318 0.0000000000 0.0000000000
0.059000 2.6897346303 0.1598645353 0.0000000000 0.0000000000
0.060000 2.6898944948 0.1624865892 0.0000000000 0.0000000000
0.061000 2.6900569814 0.1651065613 0.0000000000 0.0000000000
0.062000 2.6902220880 0.1677244195 0.0000000000 0.0000000000
0.063000 2.6903898124 0.1703401317 0.0000000000 0.0000000000
0.064000 2.6905601525 0.1729536659 0.0000000000 0.0000000000
0.065000 2.6907331062 0.1755649902 0.0000000000 0.0000000000
0.066000 2.6909086712 0.1781740730 0.0000000000 0.0000000000
0.067000 2.6910868453 0.1807808826 0.0000000000 0.0000000000
0.068000 2.6912676262 0.1833853875 0.0000000000 0.0000000000
0.069000 2.6914510115 0.1859875563 0.0000000000 0.0000000000
0.070000 2.6916369991 0.1885873578 0.0000000000 0.0000000000
0.071000 2.6918255865 0.1911847607 0.0000000000 0.0000000000
0.072000 2.6920167712 0.1937797341 0.0000000000 0.0000000000
0.073000 2.6922105510 0.1963722470 0.0000000000 0.0000000000
0.074000 2.6924069232 0.1989622686 0.0000000000 0.0000000000
0.075000 2.6926058855 0.2015497684 0.0000000000 0.0000000000
0.076000 2.6928074352 0.2041347156 0.0000000000 0.0000000000
0.077000 2.6930115700 0.2067170800 0.0000000000 0.0000000000
0.078000 2.6932182870 0.2092968312 0.0000000000 0.0000000000
0.079000 2.6934275839 0.2118739391 0.0000000000 0.0000000000
0.080000 2.6936394578 0.2144483736 0.0000000000 0.0000000000
0.081000 2.6938539062 0.2170201049 0.0000000000 0.0000000000
0.082000 2.6940709263 0.2195891032 0.0000000000 0.0000000000
0.083000 2.6942905154 0.2221553389 0.0000000000 0.0000000000
0.084000 2.6945126707 0.2247187825 0.0000000000 0.0000000000
0.085000 2.6947373895 0.2272794046 0.0000000000 0.0000000000
0.086000 2.6949646689 0.2298371760 0.0000000000 0.0000000000
0.087000 2.6951945061 0.2323920677 0.0000000000 0.0000000000
0.088000 2.6954268982 0.2349440508 0.0000000000 0.0000000000
0.089000 2.6956618422 0.2374930964 0.0000000000 0.0000000000
