#   t       A            B            C            D
0.000000 2.6850013425 0.0026863425 0.0000000000 0.0000000000
0.001000 2.6850053713 0.0053726583 0.0000000000 0.0000000000
0.002000 2.6850120865 0.0080589119 0.0000000000 0.0000000000
0.003000 2.6850214878 0.0107450678 0.0000000000 0.0000000000
0.004000 2.6850335752 0.0134310902 0.0000000000 0.0000000000
0.005000 2.6850483486 0.0161169438 0.0000000000 0.0000000000
0.006000 2.6850658077 0.0188025929 0.0000000000 0.0000000000
0.007000 2.6850859524 0.0214880020 0.0000000000 0.0000000000
0.008000 2.6851087823 0.0241731357 0.0000000000 0.0000000000
0.009000 2.6851342972 0.0268579584 0.0000000000 0.0000000000
0.010000 2.6851624968 0.0295424345 0.0000000000 0.0000000000
0.011000 2.6851933806 0.0322265288 0.0000000000 0.0000000000
0.012000 2.6852269484 0.0349102056 0.0000000000 0.0000000000
0.013000 2.6852631996 0.0375934296 0.0000000000 0.0000000000
0.014000 2.6853021338 0.0402761653 0.0000000000 0.0000000000
0.015000 2.6853437505 0.0429583774 0.0000000000 0.0000000000
0.016000 2.6853880491 0.0456400306 0.0000000000 0.0000000000
0.017000 2.6854350290 0.0483210894 0.0000000000 0.0000000000
0.018000 2.6854846897 0.0510015187 0.0000000000 0.0000000000
0.019000 2.6855370306 0.0536812831 0.0000000000 0.0000000000
0.020000 2.6855920508 0.0563603474 0.0000000000 0.0000000000
0.021000 2.6856497497 0.0590386765 0.0000000000 0.0000000000
0.022000 2.6857101266 0.0617162352 0.0000000000 0.0000000000
0.023000 2.6857731807 0.0643929883 0.0000000000 0.0000000000
0.024000 2.6858389110 0.0670689009 0.0000000000 0.0000000000
0.025000 2.6859073169 0.0697439378 0.0000000000 0.0000000000
0.026000 2.6859783973 0.0724180642 0.0000000000 0.0000000000
0.027000 2.6860521514 0.0750912450 0.0000000000 0.0000000000
0.028000 2.6861285782 0.0777634455 0.0000000000 0.0000000000
0.029000 2.6862076767 0.0804346307 0.0000000000 0.0000000000
0.030000 2.6862894459 0.0831047659 0.0000000000 0.0000000000
0.031000 2.6863738847 0.0857738164 0.0000000000 0.0000000000
0.032000 2.6864609919 0.0884417475 0.0000000000 0.0000000000
0.033000 2.6865507665 0.0911085245 0.0000000000 0.0000000000
0.034000 2.6866432073 0.0937741131 0.0000000000 0.0000000000
0.035000 2.6867383131 0.0964384786 0.0000000000 0.0000000000
0.036000 2.6868360827 0.0991015866 0.0000000000 0.0000000000
0.037000 2.6869365146 0.1017634029 0.0000000000 0.0000000000
0.038000 2.6870396078 0.1044238930 0.0000000000 0.0000000000
0.039000 2.6871453608 0.1070830228 0.0000000000 0.0000000000
0.040000 2.6872537722 0.1097407582 0.0000000000 0.0000000000
0.041000 2.6873648406 0.1123970650 0.0000000000 0.0000000000
0.042000 2.6874785646 0.1150519093 0.0000000000 0.0000000000
0.043000 2.6875949427 0.1177052571 0.0000000000 0.0000000000
0.044000 2.6877139734 0.1203570746 0.0000000000 0.0000000000
0.045000 2.6878356551 0.1230073280 0.0000000000 0.0000000000
0.046000 2.6879599863 0.1256559836 0.0000000000 0.0000000000
0.047000 2.6880869654 0.1283030078 0.0000000000 0.0000000000
0.048000 2.6882165906 0.1309483671 0.0000000000 0.0000000000
0.049000 2.6883488604 0.1335920281 0.0000000000 0.0000000000
0.050000 2.6884837729 0.1362339574 0.0000000000 0.0000000000
0.051000 2.6886213265 0.1388741217 0.0000000000 0.0000000000
0.052000 2.6887615194 0.1415124879 0.0000000000 0.0000000000
0.053000 2.6889043497 0.1441490229 0.0000000000 0.0000000000
0.054000 2.6890498156 0.1467836937 0.0000000000 0.0000000000
0.055000 2.6891979153 0.1494164675 0.0000000000 0.0000000000
0.056000 2.6893486468 0.1520473114 0.0000000000 0.0000000000
0.057000 2.6895020081 0.1546761927 0.0000000000 0.0000000000
0.058000 2.6896579973 0.1573030790 0.0000000000 0.0000000000
0.059000 2.6898166124 0.1599279375 0.0000000000 0.0000000000
0.060000 2.6899778514 0.1625507361 0.0000000000 0.0000000000
0.061000 2.6901417121 0.1651714424 0.0000000000 0.0000000000
0.062000 2.6903081924 0.1677900242 0.0000000000 0.0000000000
0.063000 2.6904772903 0.1704064495 0.0000000000 0.0000000000
0.064000 2.6906490035 0.1730206863 0.0000000000 0.0000000000
0.065000 2.6908233298 0.1756327028 0.0000000000 0.0000000000
0.066000 2.6910002670 0.1782424672 0.0000000000 0.0000000000
0.067000 2.6911798128 0.1808499480 0.0000000000 0.0000000000
0.068000 2.6913619650 0.1834551135 0.0000000000 0.0000000000
0.069000 2.6915467212 0.1860579325 0.0000000000 0.0000000000
0.070000 2.6917340790 0.1886583737 0.0000000000 0.0000000000
0.071000 2.6919240360 0.1912564059 0.0000000000 0.0000000000
0.072000 2.6921165899 0.1938519980 0.0000000000 0.0000000000
0.073000 2.6923117381 0.1964451193 0.0000000000 0.0000000000
0.074000 2.6925094782 0.1990357388 0.0000000000 0.0000000000
0.075000 2.6927098077 0.2016238260 0.0000000000 0.0000000000
0.076000 2.6929127239 0.2042093503 0.0000000000 0.0000000000
0.077000 2.6931182244 0.2067922814 0.0000000000 0.0000000000
0.078000 2.6933263065 0.2093725889 0.0000000000 0.0000000000
0.079000 2.6935369676 0.2119502427 0.0000000000 0.0000000000
0.080000 2.6937502051 0.2145252128 0.0000000000 0.0000000000
0.081000 2.6939660161 0.2170974693 0.0000000000 0.0000000000
0.082000 2.6941843980 0.2196669826 0.0000000000 0.0000000000
0.083000 2.6944053481 0.2222337229 0.0000000000 0.0000000000
0.084000 2.6946288635 0.2247976608 0.0000000000 0.0000000000
0.085000 2.6948549414 0.2273587670 0.0000000000 0.0000000000
0.086000 2.6950835790 0.2299170123 0.0000000000 0.0000000000
0.087000 2.6953147734 0.2324723676 0.0000000000 0.0000000000
0.088000 2.6955485217 0.2350248041 0.0000000000 0.0000000000
0.089000 2.6957848210 0.2375742929 0.0000000000 0.0000000000
0.090000 2.6960236683 0.2401208055 0.0000000000 0.0000000000
0.091000 2.6962650606 0.2426643134 0.0000000000 0.0000000000
0.092000 2.6965089949 0.2452047882 0.0000000000 0.0000000000
0.093000 2.6967554681 0.2477422017 0.0000000000 0.0000000000
0.094000 2.6970044773 0.2502765260 0.0000000000 0.0000000000
0.095000 2.6972560191 0.2528077331 0.0000000000 0.0000000000
0.096000 2.6975100907 0.2553357953 0.0000000000 0.0000000000
0.097000 2.6977666887 0.2578606851 0.0000000000 0.0000000000
0.098000 2.6980258100 0.2603823750 0.0000000000 0.0000000000
0.099000 2.6982874514 0.2629008377 0.0000000000 0.0000000000
0.100000 2.6985516096 0.2654160460 0.0000000000 0.0000000000
0.101000 2.6988182814 0.2679279732 0.0000000000 0.0000000000
0.102000 2.6990874634 0.2704365923 0.0000000000 0.0000000000
0.103000 2.6993591525 0.2729418766 0.0000000000 0.0000000000
0.104000 2.6996333451 0.2754437998 0.0000000000 0.0000000000
0.105000 2.6999100380 0.2779423354 0.0000000000 0.0000000000
0.106000 2.7001892277 0.2804374573 0.0000000000 0.0000000000
0.107000 2.7004709108 0.2829291395 0.0000000000 0.0000000000
0.108000 2.7007550838 0.2854173562 0.0000000000 0.0000000000
0.109000 2.7010417434 0.2879020816 0.0000000000 0.0000000000
0.110000 2.7013308859 0.2903832902 0.0000000000 0.0000000000
0.111000 2.7016225078 0.2928609568 0.0000000000 0.0000000000
0.112000 2.7019166057 0.2953350560 0.0000000000 0.0000000000
0.113000 2.7022131758 0.2978055630 0.0000000000 0.0000000000
0.114000 2.7025122146 0.3002724527 0.0000000000 0.0000000000
0.115000 2.7028137186 0.3027357006 0.0000000000 0.0000000000
0.116000 2.7031176839 0.3051952821 0.0000000000 0.0000000000
0.117000 2.7034241070 0.3076511729 0.0000000000 0.0000000000
0.118000 2.7037329841 0.3101033488 0.0000000000 0.0000000000
0.119000 2.7040443115 0.3125517858 0.0000000000 0.0000000000
0.120000 2.7043580855 0.3149964601 0.0000000000 0.0000000000
0.121000 2.7046743022 0.3174373480 0.0000000000 0.0000000000
0.122000 2.7049929580 0.3198744259 0.0000000000 0.0000000000
0.123000 2.7053140489 0.3223076707 0.0000000000 0.0000000000
0.124000 2.7056375712 0.3247370592 0.0000000000 0.0000000000
0.125000 2.7059635209 0.3271625683 0.0000000000 0.0000000000
0.126000 2.7062918941 0.3295841754 0.0000000000 0.0000000000
0.127000 2.7066226870 0.3320018577 0.0000000000 0.0000000000
0.128000 2.7069558956 0.3344155930 0.0000000000 0.0000000000
0.129000 2.7072915160 0.3368253588 0.0000000000 0.0000000000
0.130000 2.7076295441 0.3392311331 0.0000000000 0.0000000000
0.131000 2.7079699761 0.3416328941 0.0000000000 0.0000000000
0.132000 2.7083128077 0.3440306200 0.0000000000 0.0000000000
0.133000 2.7086580351 0.3464242892 0.0000000000 0.0000000000
0.134000 2.7090056541 0.3488138804 0.0000000000 0.0000000000
0.135000 2.7093556606 0.3511993724 0.0000000000 0.0000000000
0.136000 2.7097080506 0.3535807443 0.0000000000 0.0000000000
0.137000 2.7100628199 0.3559579751 0.0000000000 0.0000000000
0.138000 2.7104199643 0.3583310443 0.0000000000 0.0000000000
0.139000 2.7107794797 0.3606999314 0.0000000000 0.0000000000
0.140000 2.7111413619 0.3630646161 0.0000000000 0.0000000000
0.141000 2.7115056067 0.3654250783 0.0000000000 0.0000000000
0.142000 2.7118722099 0.3677812982 0.0000000000 0.0000000000
0.143000 2.7122411671 0.3701332559 0.0000000000 0.0000000000
0.144000 2.7126124741 0.3724809320 0.0000000000 0.0000000000
0.145000 2.7129861267 0.3748243071 0.0000000000 0.0000000000
0.146000 2.7133621205 0.3771633620 0.0000000000 0.0000000000
0.147000 2.7137404512 0.3794980778 0.0000000000 0.0000000000
0.148000 2.7141211144 0.3818284356 0.0000000000 0.0000000000
0.149000 2.7145041058 0.3841544168 0.0000000000 0.0000000000
0.150000 2.7148894209 0.3864760030 0.0000000000 0.0000000000
0.151000 2.7152770555 0.3887931760 0.0000000000 0.0000000000
0.152000 2.7156670050 0.3911059176 0.0000000000 0.0000000000
0.153000 2.7160592651 0.3934142100 0.0000000000 0.0000000000
0.154000 2.7164538312 0.3957180356 0.0000000000 0.0000000000
0.155000 2.7168506989 0.3980173767 0.0000000000 0.0000000000
0.156000 2.7172498637 0.4003122162 0.0000000000 0.0000000000
0.157000 2.7176513210 0.4026025368 0.0000000000 0.0000000000
0.158000 2.7180550664 0.4048883217 0.0000000000 0.0000000000
0.159000 2.7184610954 0.4071695540 0.0000000000 0.0000000000
0.160000 2.7188694033 0.4094462173 0.0000000000 0.0000000000
0.161000 2.7192799855 0.4117182951 0.0000000000 0.0000000000
0.162000 2.7196928376 0.4139857712 0.0000000000 0.0000000000
0.163000 2.7201079548 0.4162486296 0.0000000000 0.0000000000
0.164000 2.7205253325 0.4185068546 0.0000000000 0.0000000000
0.165000 2.7209449662 0.4207604304 0.0000000000 0.0000000000
0.166000 2.7213668511 0.4230093416 0.0000000000 0.0000000000
0.167000 2.7217909826 0.4252535731 0.0000000000 0.0000000000
0.168000 2.7222173560 0.4274931096 0.0000000000 0.0000000000
0.169000 2.7226459665 0.4297279363 0.0000000000 0.0000000000
0.170000 2.7230768095 0.4319580386 0.0000000000 0.0000000000
0.171000 2.7235098803 0.4341834018 0.0000000000 0.0000000000
0.172000 2.7239451740 0.4364040118 0.0000000000 0.0000000000
0.173000 2.7243826860 0.4386198543 0.0000000000 0.0000000000
0.174000 2.7248224114 0.4408309154 0.0000000000 0.0000000000
0.175000 2.7252643455 0.4430371813 0.0000000000 0.0000000000
0.176000 2.7257084835 0.4452386385 0.0000000000 0.0000000000
0.177000 2.7261548205 0.4474352735 0.0000000000 0.0000000000
0.178000 2.7266033517 0.4496270732 0.0000000000 0.0000000000
0.179000 2.7270540723 0.4518140246 0.0000000000 0.0000000000
0.180000 2.7275069775 0.4539961147 0.0000000000 0.0000000000
0.181000 2.7279620623 0.4561733310 0.0000000000 0.0000000000
0.182000 2.7284193218 0.4583456610 0.0000000000 0.0000000000
0.183000 2.7288787513 0.4605130924 0.0000000000 0.0000000000
0.184000 2.7293403457 0.4626756132 0.0000000000 0.0000000000
0.185000 2.7298041002 0.4648332113 0.0000000000 0.0000000000
0.186000 2.7302700098 0.4669858752 0.0000000000 0.0000000000
0.187000 2.7307380696 0.4691335932 0.0000000000 0.0000000000
0.188000 2.7312082747 0.4712763540 0.0000000000 0.0000000000
0.189000 2.7316806200 0.4734141464 0.0000000000 0.0000000000
0.190000 2.7321551006 0.4755469594 0.0000000000 0.0000000000
0.191000 2.7326317116 0.4776747823 0.0000000000 0.0000000000
0.192000 2.7331104479 0.4797976043 0.0000000000 0.0000000000
0.193000 2.7335913045 0.4819154151 0.0000000000 0.0000000000
0.194000 2.7340742764 0.4840282044 0.0000000000 0.0000000000
